Package,Built
assertthat,3.4.0
backports,3.4.2
base,3.4.2
base64enc,3.4.0
BH,3.4.1
bindr,3.4.0
bindrcpp,3.4.0
bit,3.4.0
bitops,3.4.0
blogdown,3.4.2
bookdown,3.4.1
boot,3.4.2
brew,3.4.0
broom,3.4.0
car,3.4.3
caret,3.4.3
caTools,3.4.0
cellranger,3.4.0
class,3.4.2
classInt,3.4.0
cli,3.4.2
clipr,3.4.2
clisymbols,3.4.0
cluster,3.4.2
coda,3.4.0
codetools,3.4.2
colorspace,3.4.0
compiler,3.4.2
corrplot,3.4.2
crayon,3.4.1
crosstalk,3.4.0
curl,3.4.2
CVST,3.4.0
data.table,3.4.2
datasets,3.4.2
DBI,3.4.0
ddalpha,3.4.2
debugme,3.4.2
deldir,3.4.0
DEoptimR,3.4.0
desc,3.4.1
devtools,3.4.1
dichromat,3.4.0
digest,3.4.3
dimRed,3.4.0
dplyr,3.4.2
DRR,3.4.0
e1071,3.4.0
ellipse,3.4.0
emo,3.4.2
enc,3.4.2
evaluate,3.4.1
expm,3.4.0
FactoMineR,3.4.2
fastmatch,3.4.0
ff,3.4.0
ffbase,3.4.0
flashClust,3.4.0
forcats,3.4.0
foreach,3.4.3
foreign,3.4.2
fs,3.4.2
gdalUtils,3.4.0
gdata,3.4.0
geojson,3.4.2
geojsonio,3.4.2
geojsonlint,3.4.0
geosphere,3.4.2
ggdendro,3.4.0
ggforce,3.4.0
ggformula,3.4.1
ggplot2,3.4.2
ggraph,3.4.2
ggrepel,3.4.2
gh,3.4.1
git2r,3.4.1
glue,3.4.2
gmodels,3.4.0
gower,3.4.0
graphics,3.4.2
grDevices,3.4.2
grid,3.4.2
gridExtra,3.4.1
gtable,3.4.0
gtools,3.4.0
gutenbergr,3.4.1
haven,3.4.1
highr,3.4.0
hms,3.4.0
htmltools,3.4.0
htmlwidgets,3.4.1
httpuv,3.4.1
httr,3.4.1
hunspell,3.4.1
igraph,3.4.1
ini,3.4.2
ipred,3.4.0
irlba,3.4.3
ISLR,3.4.2
iterators,3.4.3
janeaustenr,3.4.2
jqr,3.4.2
jsonlite,3.4.0
jsonvalidate,3.4.0
kableExtra,3.4.2
kernlab,3.4.0
KernSmooth,3.4.2
knitr,3.4.1
labeling,3.4.0
lattice,3.4.2
latticeExtra,3.4.0
lava,3.4.2
lazyeval,3.4.2
leaflet,3.4.0
leaps,3.4.0
LearnBayes,3.4.0
lme4,3.4.2
lubridate,3.4.2
magrittr,3.4.0
maptools,3.4.0
mapview,3.4.2
markdown,3.4.0
MASS,3.4.2
Matrix,3.4.2
MatrixModels,3.4.0
memoise,3.4.0
methods,3.4.2
mgcv,3.4.2
mice,3.4.2
mime,3.4.0
miniUI,3.4.2
minqa,3.4.0
missMDA,3.4.0
mnormt,3.4.0
ModelMetrics,3.4.0
modelr,3.4.1
mosaic,3.4.1
mosaicCore,3.4.1
mosaicData,3.4.0
munsell,3.4.0
mvtnorm,3.4.0
nlme,3.4.2
nloptr,3.4.0
nnet,3.4.2
numDeriv,3.4.0
openssl,3.4.1
osmar,3.4.0
parallel,3.4.2
pbkrtest,3.4.0
pdftools,3.4.2
pkgconfig,3.4.0
plogr,3.4.0
plyr,3.4.0
png,3.4.0
processx,3.4.1
prodlim,3.4.0
protolite,3.4.1
psych,3.4.2
purrr,3.4.2
quantreg,3.4.2
R.methodsS3,3.4.0
R.oo,3.4.0
R.utils,3.4.2
R6,3.4.0
randomForest,3.4.0
ranger,3.4.1
raster,3.4.2
RColorBrewer,3.4.0
Rcpp,3.4.3
RcppEigen,3.4.3
RcppRoll,3.4.0
RCurl,3.4.0
readr,3.4.0
readstata13,3.4.0
readxl,3.4.0
recipes,3.4.3
rematch,3.4.0
rematch2,3.4.1
reshape2,3.4.3
rgdal,3.4.3
rgeos,3.4.2
rlang,3.4.2
rmapshaper,3.4.1
rmarkdown,3.4.0
robustbase,3.4.2
rpart,3.4.2
rprojroot,3.4.0
rstudioapi,3.4.1
rvest,3.4.0
satellite,3.4.2
scales,3.4.2
scatterplot3d,3.4.0
selectr,3.4.0
servr,3.4.2
sf,3.4.2
sfsmisc,3.4.0
shiny,3.4.1
slam,3.4.0
SnowballC,3.4.0
sourcetools,3.4.0
sp,3.4.1
SparseM,3.4.0
spatial,3.4.2
spData,3.4.3
spdep,3.4.3
splines,3.4.2
spotifyr,3.4.2
stats,3.4.2
stats4,3.4.2
stringi,3.4.0
stringr,3.4.0
styler,3.4.3
survival,3.4.2
tabplot,3.4.0
tcltk,3.4.2
tibble,3.4.1
tidyr,3.4.2
tidyselect,3.4.2
tidytext,3.4.2
tidyverse,3.4.0
timeDate,3.4.2
tmap,3.4.3
tmaptools,3.4.3
tokenizers,3.4.0
tools,3.4.2
triebeard,3.4.0
tweenr,3.4.0
udunits2,3.4.0
units,3.4.1
urltools,3.4.0
USAboundaries,3.4.1
USAboundariesData,3.4.2
usethis,3.4.3
utils,3.4.2
V8,3.4.0
viridis,3.4.0
viridisLite,3.4.0
webshot,3.4.3
whisker,3.4.0
withr,3.4.2
wordcloud,3.4.0
xgboost,3.4.0
XML,3.4.1
xml2,3.4.0
xtable,3.4.0
yaml,3.4.0
